"Target: Potatoe_raster2, Contains DAT files: APB_469447387ESC08110441432_______M1.DAT"
20266.6  ,     617
20291.0  ,     604
20315.5  ,     606
20339.9  ,     575
20364.3  ,     546
20388.7  ,     570
20413.1  ,     511
20437.6  ,     528
20462.0  ,     448
20486.4  ,     450
20510.8  ,     455
20535.3  ,     438
20559.7  ,     440
20584.1  ,     435
20608.5  ,     372
20632.9  ,     384
20657.4  ,     365
20681.8  ,     355
20706.2  ,     340
20730.6  ,     341
20755.1  ,     296
20779.5  ,     303
20803.9  ,     238
20828.3  ,     235
20852.8  ,     257
20877.2  ,     245
20901.6  ,     231
20926.0  ,     189
20950.4  ,     203
20974.9  ,     181
20999.3  ,     176
21023.7  ,     202
21048.1  ,     170
21072.6  ,     181
21097.0  ,     176
21121.4  ,     195
21145.8  ,     173
21170.2  ,     203
21194.7  ,     211
21219.1  ,     235
21243.5  ,     293
21267.9  ,     351
21292.4  ,     434
21316.8  ,     457
21341.2  ,     548
21365.6  ,     615
21390.0  ,     671
21414.5  ,     703
21438.9  ,     688
21463.3  ,     658
21487.7  ,     557
21512.2  ,     556
21536.6  ,     477
21561.0  ,     341
21585.4  ,     271
21609.8  ,     215
21634.3  ,     195
21658.7  ,     148
21683.1  ,     122
21707.5  ,     107
21732.0  ,     103
21756.4  ,      76
21780.8  ,      92
21805.2  ,      92
21829.7  ,      89
21854.1  ,      92
21878.5  ,     106
21902.9  ,      97
21927.3  ,     120
21951.8  ,      92
21976.2  ,     114
22000.6  ,     106
22025.0  ,     117
22049.5  ,     141
22073.9  ,     139
22098.3  ,     166
22122.7  ,     190
22147.1  ,     173
22171.6  ,     177
22196.0  ,     186
22220.4  ,     158
22244.8  ,     150
22269.3  ,     135
22293.7  ,     108
22318.1  ,      99
22342.5  ,      85
22366.9  ,      88
22391.4  ,      89
22415.8  ,      84
22440.2  ,      64
22464.6  ,      54
22489.1  ,      56
22513.5  ,      67
22537.9  ,      56
22562.3  ,      51
22586.7  ,      58
22611.2  ,      68
22635.6  ,      58
22660.0  ,      54
22684.4  ,      46
22708.9  ,      62
22733.3  ,      56
22757.7  ,      56
22782.1  ,      55
22806.5  ,      53
22831.0  ,      60
22855.4  ,      72
22879.8  ,      51
22904.2  ,      50
22928.7  ,      59
22953.1  ,      69
22977.5  ,      71
23001.9  ,      73
23026.4  ,      61
23050.8  ,      52
23075.2  ,      59
23099.6  ,      60
23124.0  ,      51
23148.5  ,      55
23172.9  ,      54
23197.3  ,      73
23221.7  ,      60
23246.2  ,      69
23270.6  ,      56
23295.0  ,      55
23319.4  ,      58
23343.8  ,      64
23368.3  ,      66
23392.7  ,      61
23417.1  ,      56
23441.5  ,      56
23466.0  ,      40
23490.4  ,      45
23514.8  ,      68
23539.2  ,      51
23563.6  ,      60
23588.1  ,      61
23612.5  ,      65
23636.9  ,      58
23661.3  ,      42
23685.8  ,      50
23710.2  ,      54
23734.6  ,      45
23759.0  ,      44
23783.4  ,      52
23807.9  ,      54
23832.3  ,      58
23856.7  ,      46
23881.1  ,      56
23905.6  ,      60
23930.0  ,      55
23954.4  ,      56
23978.8  ,      42
24003.3  ,      58
24027.7  ,      52
24052.1  ,      53
24076.5  ,      58
24100.9  ,      60
24125.4  ,      41
24149.8  ,      53
24174.2  ,      44
24198.6  ,      52
24223.1  ,      40
24247.5  ,      60
24271.9  ,      47
24296.3  ,      63
24320.7  ,      56
24345.2  ,      53
24369.6  ,      58
24394.0  ,      45
24418.4  ,      72
24442.9  ,      57
24467.3  ,      50
24491.7  ,      55
24516.1  ,      51
24540.5  ,      47
24565.0  ,      49
24589.4  ,      59
24613.8  ,      52
24638.2  ,      53
24662.7  ,      70
24687.1  ,      50
24711.5  ,      55
24735.9  ,      52
24760.3  ,      70
24784.8  ,      52
24809.2  ,      63
24833.6  ,      65
24858.0  ,      57
24882.5  ,      61
24906.9  ,      54
24931.3  ,      65
24955.7  ,      82
24980.2  ,      61
25004.6  ,      64
25029.0  ,      55
25053.4  ,      73
25077.8  ,      68
25102.3  ,      72
25126.7  ,      71
25151.1  ,      57
25175.5  ,      67
25200.0  ,      72
25224.4  ,      67
25248.8  ,      72
25273.2  ,      75
25297.6  ,      63
25322.1  ,      70
25346.5  ,      76
25370.9  ,      73
25395.3  ,      62
25419.8  ,      45
25444.2  ,      67
25468.6  ,  163064
