"Target: Askival_raster3, Contains DAT files: APB_576668225ESC20180691648_______M1.DAT"
22529.7  ,       1
22554.1  ,       3
22578.5  ,       2
22602.9  ,       3
22627.3  ,       3
22651.8  ,       1
22676.2  ,       5
22700.6  ,       2
22725.0  ,       5
22749.4  ,       5
22773.8  ,       1
22798.2  ,       2
22822.7  ,       1
22847.1  ,       3
22871.5  ,       3
22895.9  ,       2
22920.3  ,       4
22944.7  ,       1
22969.1  ,       3
22993.5  ,       2
23018.0  ,       2
23042.4  ,       0
23066.8  ,       3
23091.2  ,       2
23115.6  ,       3
23140.0  ,       3
23164.4  ,       1
23188.9  ,       3
23213.3  ,       2
23237.7  ,       4
23262.1  ,       2
23286.5  ,       5
23310.9  ,       1
23335.3  ,       2
23359.7  ,       3
23384.2  ,       4
23408.6  ,       4
23433.0  ,       2
23457.4  ,       3
23481.8  ,       2
23506.2  ,       2
23530.6  ,       1
23555.1  ,       3
23579.5  ,       0
23603.9  ,       3
23628.3  ,       4
23652.7  ,       2
23677.1  ,       3
23701.5  ,       1
23725.9  ,       4
23750.4  ,       3
23774.8  ,       2
23799.2  ,       2
23823.6  ,       3
23848.0  ,       0
23872.4  ,       0
23896.8  ,       4
23921.3  ,       5
23945.7  ,       1
23970.1  ,       2
23994.5  ,       4
24018.9  ,       2
24043.3  ,       3
24067.7  ,       3
24092.1  ,       5
24116.6  ,       2
24141.0  ,       5
24165.4  ,       4
24189.8  ,       0
24214.2  ,       3
24238.6  ,       2
24263.0  ,       2
24287.5  ,       4
24311.9  ,       2
24336.3  ,       2
24360.7  ,       2
24385.1  ,       6
24409.5  ,       2
24433.9  ,       4
24458.4  ,       3
24482.8  ,       2
24507.2  ,       1
24531.6  ,       6
24556.0  ,       1
24580.4  ,       4
24604.8  ,       3
24629.2  ,       2
24653.7  ,       7
24678.1  ,       4
24702.5  ,       3
24726.9  ,       2
24751.3  ,       3
24775.7  ,       4
24800.1  ,       3
24824.6  ,       2
24849.0  ,       4
24873.4  ,       2
24897.8  ,       3
24922.2  ,       3
24946.6  ,       5
24971.0  ,       2
24995.4  ,       3
25019.9  ,       3
25044.3  ,       6
25068.7  ,       4
25093.1  ,       3
25117.5  ,       2
25141.9  ,       4
25166.3  ,       6
25190.8  ,       2
25215.2  ,       2
25239.6  ,       2
25264.0  ,       3
25288.4  ,       0
25312.8  ,       7
25337.2  ,       5
25361.6  ,       1
25386.1  ,       4
25410.5  ,       2
25434.9  ,       0
25459.3  ,    7651
