"Target: Tursac, Contains DAT files: APB_670558295ESC30760871078_______M1.DAT"
17499.2  ,      41
17523.6  ,      39
17548.0  ,      35
17572.4  ,      39
17596.7  ,      38
17621.1  ,      43
17645.5  ,      43
17669.9  ,      54
17694.2  ,      26
17718.6  ,      32
17743.0  ,      33
17767.4  ,      27
17791.8  ,      20
17816.1  ,      18
17840.5  ,      24
17864.9  ,      16
17889.3  ,      15
17913.7  ,      15
17938.0  ,      17
17962.4  ,      10
17986.8  ,      20
18011.2  ,      14
18035.5  ,      21
18059.9  ,      28
18084.3  ,      29
18108.7  ,      17
18133.1  ,      29
18157.4  ,      29
18181.8  ,      41
18206.2  ,      42
18230.6  ,      46
18255.0  ,      77
18279.3  ,      67
18303.7  ,      80
18328.1  ,      58
18352.5  ,      48
18376.8  ,      41
18401.2  ,      50
18425.6  ,      33
18450.0  ,      28
18474.4  ,      19
18498.7  ,      10
18523.1  ,       9
18547.5  ,      11
18571.9  ,       9
18596.2  ,       4
18620.6  ,       4
18645.0  ,       4
18669.4  ,       6
18693.8  ,       6
18718.1  ,       4
18742.5  ,       9
18766.9  ,       6
18791.3  ,       7
18815.7  ,       2
18840.0  ,       8
18864.4  ,       6
18888.8  ,       5
18913.2  ,       7
18937.5  ,       9
18961.9  ,       4
18986.3  ,       7
19010.7  ,       4
19035.1  ,       9
19059.4  ,       9
19083.8  ,       9
19108.2  ,       6
19132.6  ,       5
19157.0  ,       4
19181.3  ,       7
19205.7  ,      11
19230.1  ,      17
19254.5  ,       7
19278.8  ,       8
19303.2  ,      12
19327.6  ,       9
19352.0  ,      15
19376.4  ,       9
19400.7  ,      14
19425.1  ,      12
19449.5  ,       9
19473.9  ,      10
19498.2  ,      13
19522.6  ,      18
19547.0  ,      11
19571.4  ,      20
19595.8  ,      18
19620.1  ,      18
19644.5  ,      20
19668.9  ,      26
19693.3  ,      30
19717.7  ,      22
19742.0  ,      13
19766.4  ,      22
19790.8  ,      24
19815.2  ,      22
19839.5  ,      11
19863.9  ,      27
19888.3  ,      14
19912.7  ,      14
19937.1  ,      24
19961.4  ,      16
19985.8  ,      20
20010.2  ,      16
20034.6  ,      15
20059.0  ,      11
20083.3  ,      17
20107.7  ,      13
20132.1  ,      12
20156.5  ,      15
20180.8  ,      15
20205.2  ,       9
20229.6  ,      14
20254.0  ,      12
20278.4  ,      17
20302.7  ,       7
20327.1  ,      12
20351.5  ,       2
20375.9  ,       6
20400.3  ,      10
20424.6  ,       7
20449.0  ,      13
20473.4  ,      12
20497.8  ,       5
20522.1  ,       7
20546.5  ,      10
20570.9  ,       7
20595.3  ,      12
20619.7  ,       6
20644.0  ,       7
20668.4  ,      10
20692.8  ,       7
20717.2  ,       5
20741.5  ,       3
20765.9  ,       5
20790.3  ,       2
20814.7  ,       7
20839.1  ,       5
20863.4  ,       5
20887.8  ,       4
20912.2  ,       3
20936.6  ,       7
20961.0  ,       1
20985.3  ,       4
21009.7  ,       7
21034.1  ,       6
21058.5  ,       4
21082.8  ,       3
21107.2  ,       3
21131.6  ,       4
21156.0  ,       6
21180.4  ,       5
21204.7  ,       8
21229.1  ,       3
21253.5  ,       5
21277.9  ,       4
21302.3  ,       7
21326.6  ,      16
21351.0  ,      16
21375.4  ,      12
21399.8  ,      12
21424.1  ,      24
21448.5  ,      19
21472.9  ,      10
21497.3  ,      10
21521.7  ,      10
21546.0  ,       9
21570.4  ,      14
21594.8  ,       5
21619.2  ,       7
21643.5  ,       9
21667.9  ,       2
21692.3  ,       3
21716.7  ,       6
21741.1  ,       7
21765.4  ,       5
21789.8  ,       0
21814.2  ,       3
21838.6  ,       1
21863.0  ,       4
21887.3  ,       2
21911.7  ,       2
21936.1  ,       0
21960.5  ,       3
21984.8  ,       1
22009.2  ,       2
22033.6  ,       2
22058.0  ,       6
22082.4  ,       0
22106.7  ,       4
22131.1  ,       2
22155.5  ,       5
22179.9  ,       8
22204.3  ,       4
22228.6  ,       1
22253.0  ,       4
22277.4  ,       0
22301.8  ,       6
22326.1  ,       2
22350.5  ,       3
22374.9  ,       4
22399.3  ,       1
22423.7  ,       1
22448.0  ,       3
22472.4  ,       3
22496.8  ,       1
22521.2  ,       0
22545.5  ,       2
22569.9  ,       2
22594.3  ,       2
22618.7  ,       1
22643.1  ,       2
22667.4  ,       0
22691.8  ,       0
22716.2  ,       0
22740.6  ,       4
22765.0  ,       0
22789.3  ,       2
22813.7  ,       2
22838.1  ,       3
22862.5  ,       0
22886.8  ,       1
22911.2  ,       2
22935.6  ,       2
22960.0  ,       1
22984.4  ,       2
23008.7  ,       2
23033.1  ,       1
23057.5  ,       1
23081.9  ,       0
23106.3  ,       3
23130.6  ,       1
23155.0  ,       1
23179.4  ,       1
23203.8  ,       3
23228.1  ,       4
23252.5  ,       3
23276.9  ,       2
23301.3  ,       3
23325.7  ,       4
23350.0  ,       2
23374.4  ,       5
23398.8  ,       4
23423.2  ,       3
23447.5  ,       1
23471.9  ,       2
23496.3  ,       0
23520.7  ,       3
23545.1  ,       1
23569.4  ,       2
23593.8  ,       1
23618.2  ,       4
23642.6  ,       1
23667.0  ,       4
23691.3  ,       2
23715.7  ,       1
23740.1  ,       3
23764.5  ,       2
23788.8  ,       2
23813.2  ,       1
23837.6  ,       3
23862.0  ,       2
23886.4  ,       0
23910.7  ,       1
23935.1  ,       1
23959.5  ,       1
23983.9  ,       1
24008.3  ,       1
24032.6  ,       0
24057.0  ,       1
24081.4  ,       1
24105.8  ,       1
24130.1  ,       3
24154.5  ,       1
24178.9  ,       1
24203.3  ,       1
24227.7  ,       4
24252.0  ,       1
24276.4  ,       2
24300.8  ,       7
24325.2  ,       4
24349.6  ,       1
24373.9  ,       1
24398.3  ,       0
24422.7  ,       2
24447.1  ,       0
24471.4  ,       0
24495.8  ,       0
24520.2  ,       0
24544.6  ,       3
24569.0  ,       1
24593.3  ,       1
24617.7  ,       3
24642.1  ,       4
24666.5  ,       3
24690.8  ,       0
24715.2  ,       3
24739.6  ,       1
24764.0  ,       0
24788.4  ,       1
24812.7  ,       1
24837.1  ,       3
24861.5  ,       0
24885.9  ,       4
24910.3  ,       2
24934.6  ,       2
24959.0  ,       1
24983.4  ,       4
25007.8  ,       3
25032.1  ,       1
25056.5  ,       1
25080.9  ,       2
25105.3  ,       1
25129.7  ,       0
25154.0  ,       1
25178.4  ,       3
25202.8  ,       1
25227.2  ,       2
25251.6  ,       2
25275.9  ,       2
25300.3  ,       3
25324.7  ,       4
25349.1  ,       1
25373.4  ,       0
25397.8  ,       3
25422.2  ,    5823
