"Target: Sutton_Island_DRT, Contains DAT files: APB_532735594ESC15230592668_______M1.DAT"
21660.8  ,     139
21685.2  ,     117
21709.6  ,     106
21734.0  ,      98
21758.4  ,      89
21782.8  ,      84
21807.2  ,      85
21831.6  ,      80
21856.0  ,      99
21880.4  ,      82
21904.8  ,      99
21929.2  ,      86
21953.6  ,      90
21978.0  ,     105
22002.4  ,     110
22026.8  ,     126
22051.1  ,     157
22075.5  ,     169
22099.9  ,     189
22124.3  ,     204
22148.7  ,     183
22173.1  ,     187
22197.5  ,     187
22221.9  ,     148
22246.3  ,     159
22270.7  ,     148
22295.1  ,     114
22319.5  ,     102
22343.9  ,     102
22368.3  ,      70
22392.7  ,      85
22417.1  ,      55
22441.5  ,      66
22465.9  ,      65
22490.3  ,      65
22514.7  ,      61
22539.1  ,      66
22563.5  ,      49
22587.9  ,      64
22612.3  ,      54
22636.7  ,      65
22661.1  ,      77
22685.5  ,      64
22709.9  ,      65
22734.3  ,      72
22758.7  ,      81
22783.1  ,      64
22807.4  ,      64
22831.8  ,      72
22856.2  ,      55
22880.6  ,      62
22905.0  ,      67
22929.4  ,      66
22953.8  ,      63
22978.2  ,      65
23002.6  ,      64
23027.0  ,      57
23051.4  ,      65
23075.8  ,      63
23100.2  ,      62
23124.6  ,      76
23149.0  ,      79
23173.4  ,      60
23197.8  ,      82
23222.2  ,      71
23246.6  ,      69
23271.0  ,      67
23295.4  ,      62
23319.8  ,      65
23344.2  ,      63
23368.6  ,      57
23393.0  ,      62
23417.4  ,      70
23441.8  ,      71
23466.2  ,      61
23490.6  ,      65
23515.0  ,      69
23539.4  ,      56
23563.7  ,      56
23588.1  ,      61
23612.5  ,      63
23636.9  ,      54
23661.3  ,      67
23685.7  ,      69
23710.1  ,      58
23734.5  ,      64
23758.9  ,      74
23783.3  ,      70
23807.7  ,      59
23832.1  ,      71
23856.5  ,      58
23880.9  ,      61
23905.3  ,      63
23929.7  ,      71
23954.1  ,      62
23978.5  ,      72
24002.9  ,      73
24027.3  ,      79
24051.7  ,      66
24076.1  ,      59
24100.5  ,      66
24124.9  ,      54
24149.3  ,      64
24173.7  ,      71
24198.1  ,      83
24222.5  ,      68
24246.9  ,      73
24271.3  ,      72
24295.7  ,      53
24320.0  ,      68
24344.4  ,      64
24368.8  ,      54
24393.2  ,      60
24417.6  ,      52
24442.0  ,      66
24466.4  ,      63
24490.8  ,      69
24515.2  ,      49
24539.6  ,      71
24564.0  ,      67
24588.4  ,      59
24612.8  ,      47
24637.2  ,      51
24661.6  ,      55
24686.0  ,      55
24710.4  ,      78
24734.8  ,      52
24759.2  ,      69
24783.6  ,      68
24808.0  ,      66
24832.4  ,      56
24856.8  ,      67
24881.2  ,      58
24905.6  ,      74
24930.0  ,      67
24954.4  ,      73
24978.8  ,      83
25003.2  ,      83
25027.6  ,      80
25052.0  ,      52
25076.3  ,      78
25100.7  ,      59
25125.1  ,      64
25149.5  ,      84
25173.9  ,      88
25198.3  ,      82
25222.7  ,      81
25247.1  ,      87
25271.5  ,      76
25295.9  ,      78
25320.3  ,      68
25344.7  ,      84
25369.1  ,      61
25393.5  ,      66
25417.9  ,      73
25442.3  ,  181009
