"Target: Mammoth_rp, Contains DAT files: APB_464835267ESC07590421020_______M1.DAT"
23023.0  ,      57
23047.3  ,      80
23071.7  ,      61
23096.0  ,      64
23120.4  ,      54
23144.8  ,      63
23169.1  ,      71
23193.5  ,      58
23217.9  ,      55
23242.2  ,      79
23266.6  ,      67
23290.9  ,      63
23315.3  ,      62
23339.7  ,      71
23364.0  ,      72
23388.4  ,      68
23412.8  ,      68
23437.1  ,      50
23461.5  ,      58
23485.9  ,      58
23510.2  ,      56
23534.6  ,      77
23558.9  ,      53
23583.3  ,      63
23607.7  ,      59
23632.0  ,      56
23656.4  ,      49
23680.8  ,      70
23705.1  ,      59
23729.5  ,      56
23753.8  ,      60
23778.2  ,      66
23802.6  ,      47
23826.9  ,      69
23851.3  ,      66
23875.7  ,      76
23900.0  ,      62
23924.4  ,      66
23948.7  ,      48
23973.1  ,      77
23997.5  ,      61
24021.8  ,      50
24046.2  ,      63
24070.6  ,      55
24094.9  ,      57
24119.3  ,      59
24143.6  ,      50
24168.0  ,      59
24192.4  ,      73
24216.7  ,      61
24241.1  ,      45
24265.5  ,      61
24289.8  ,      54
24314.2  ,      58
24338.5  ,      51
24362.9  ,      61
24387.3  ,      58
24411.6  ,      48
24436.0  ,      60
24460.4  ,      60
24484.7  ,      51
24509.1  ,      61
24533.4  ,      46
24557.8  ,      58
24582.2  ,      66
24606.5  ,      71
24630.9  ,      73
24655.3  ,      64
24679.6  ,      62
24704.0  ,      76
24728.3  ,      67
24752.7  ,      60
24777.1  ,      77
24801.4  ,      67
24825.8  ,      58
24850.2  ,      58
24874.5  ,      67
24898.9  ,      76
24923.2  ,      69
24947.6  ,      49
24972.0  ,      68
24996.3  ,      59
25020.7  ,      57
25045.1  ,      75
25069.4  ,      91
25093.8  ,      70
25118.1  ,      76
25142.5  ,      72
25166.9  ,      86
25191.2  ,      61
25215.6  ,      76
25240.0  ,      71
25264.3  ,      83
25288.7  ,      68
25313.0  ,      74
25337.4  ,      84
25361.8  ,      67
25386.1  ,      82
25410.5  ,  182777
