"Target: Maya, Contains DAT files: APB_430653584ESC03740140000_______M4.DAT"
25080.7  ,      27
25105.1  ,      23
25129.4  ,      27
25153.8  ,      23
25178.1  ,      25
25202.5  ,      30
25226.8  ,      29
25251.2  ,      25
25275.5  ,      23
25299.9  ,      32
25324.2  ,      28
25348.6  ,      31
25372.9  ,      30
25397.3  ,   69600
