"Target: Aillik_RP_Spot2, Contains DAT files: APB_426102426ESC03220060804_______M2.DAT"
21699.9  ,      11
21724.3  ,      10
21748.7  ,      13
21773.1  ,       7
21797.5  ,       9
21821.9  ,      13
21846.3  ,      11
21870.7  ,       9
21895.2  ,       9
21919.6  ,       9
21944.0  ,       9
21968.4  ,       7
21992.8  ,       4
22017.2  ,       7
22041.6  ,      14
22066.0  ,      16
22090.5  ,      22
22114.9  ,      22
22139.3  ,      25
22163.7  ,      20
22188.1  ,      18
22212.5  ,      21
22236.9  ,      17
22261.3  ,      14
22285.8  ,      15
22310.2  ,      15
22334.6  ,      10
22359.0  ,      11
22383.4  ,       6
22407.8  ,       7
22432.2  ,       7
22456.6  ,       5
22481.1  ,       8
22505.5  ,       9
22529.9  ,       6
22554.3  ,       8
22578.7  ,       5
22603.1  ,       3
22627.5  ,       4
22651.9  ,       7
22676.4  ,       7
22700.8  ,       2
22725.2  ,      11
22749.6  ,       2
22774.0  ,      10
22798.4  ,       8
22822.8  ,       5
22847.2  ,       8
22871.7  ,       7
22896.1  ,       4
22920.5  ,      11
22944.9  ,       6
22969.3  ,       7
22993.7  ,       5
23018.1  ,      11
23042.6  ,       8
23067.0  ,       5
23091.4  ,      10
23115.8  ,       3
23140.2  ,       5
23164.6  ,       7
23189.0  ,       7
23213.4  ,       5
23237.9  ,       3
23262.3  ,       4
23286.7  ,       4
23311.1  ,       8
23335.5  ,       8
23359.9  ,       6
23384.3  ,       2
23408.7  ,       3
23433.2  ,       9
23457.6  ,      10
23482.0  ,       5
23506.4  ,       6
23530.8  ,      10
23555.2  ,       3
23579.6  ,      12
23604.0  ,       8
23628.5  ,       6
23652.9  ,       4
23677.3  ,       5
23701.7  ,       4
23726.1  ,       8
23750.5  ,      10
23774.9  ,       2
23799.3  ,       3
23823.8  ,       5
23848.2  ,       5
23872.6  ,       5
23897.0  ,       8
23921.4  ,       3
23945.8  ,       5
23970.2  ,       5
23994.6  ,       6
24019.1  ,       6
24043.5  ,       8
24067.9  ,      11
24092.3  ,       3
24116.7  ,       7
24141.1  ,       4
24165.5  ,       6
24189.9  ,       8
24214.4  ,       4
24238.8  ,       2
24263.2  ,      10
24287.6  ,       5
24312.0  ,      10
24336.4  ,       9
24360.8  ,       7
24385.2  ,       9
24409.7  ,       4
24434.1  ,       5
24458.5  ,       5
24482.9  ,       8
24507.3  ,       9
24531.7  ,       5
24556.1  ,       9
24580.5  ,       4
24605.0  ,       6
24629.4  ,       7
24653.8  ,       3
24678.2  ,       5
24702.6  ,       5
24727.0  ,       8
24751.4  ,       4
24775.8  ,       7
24800.3  ,       6
24824.7  ,       6
24849.1  ,       3
24873.5  ,      10
24897.9  ,       9
24922.3  ,       7
24946.7  ,       8
24971.1  ,       4
24995.6  ,       4
25020.0  ,      11
25044.4  ,       6
25068.8  ,       8
25093.2  ,      12
25117.6  ,       6
25142.0  ,       9
