"Target: Hay_Creek_marsviewer_tweaked, Contains DAT files: APA_411871303ESC01620051986_______M2.DAT"
19290.9  ,      17
19315.3  ,      16
19339.8  ,      12
19364.2  ,      15
19388.7  ,      21
19413.1  ,      15
19437.6  ,      12
19462.1  ,      23
19486.5  ,      20
19511.0  ,      17
19535.4  ,      26
19559.9  ,      27
19584.3  ,      37
19608.8  ,      30
19633.2  ,      36
19657.7  ,      31
19682.1  ,      31
19706.6  ,      39
19731.0  ,      41
19755.5  ,      39
19780.0  ,      45
19804.4  ,      49
19828.9  ,      34
19853.3  ,      45
19877.8  ,      39
19902.2  ,      45
19926.7  ,      37
19951.1  ,      41
19975.6  ,      42
20000.0  ,      35
20024.5  ,      30
20049.0  ,      42
20073.4  ,      39
20097.9  ,      36
20122.3  ,      25
20146.8  ,      35
20171.2  ,      19
20195.7  ,      38
20220.1  ,      27
20244.6  ,      20
20269.0  ,      17
20293.5  ,      24
20318.0  ,      15
20342.4  ,      26
20366.9  ,      24
20391.3  ,      27
20415.8  ,      21
20440.2  ,      15
20464.7  ,      16
20489.1  ,      25
20513.6  ,      15
20538.0  ,      22
20562.5  ,      14
20587.0  ,      17
20611.4  ,      13
20635.9  ,      17
20660.3  ,      19
20684.8  ,      15
20709.2  ,      14
20733.7  ,       8
20758.1  ,       9
20782.6  ,      13
20807.0  ,      14
20831.5  ,      15
20856.0  ,      10
20880.4  ,       2
20904.9  ,      13
20929.3  ,       6
20953.8  ,      10
20978.2  ,       5
21002.7  ,       7
21027.1  ,       6
21051.6  ,       8
21076.0  ,       7
21100.5  ,      11
21125.0  ,       8
21149.4  ,       3
21173.9  ,      16
21198.3  ,       8
21222.8  ,       6
21247.2  ,      12
21271.7  ,      21
21296.1  ,      22
21320.6  ,      23
21345.0  ,      24
21369.5  ,      37
21394.0  ,      32
21418.4  ,      34
21442.9  ,      25
21467.3  ,      28
21491.8  ,      18
21516.2  ,      33
21540.7  ,      21
21565.1  ,      19
21589.6  ,      18
21614.0  ,      10
21638.5  ,       7
21663.0  ,      13
21687.4  ,       8
21711.9  ,      11
21736.3  ,       7
21760.8  ,       8
21785.2  ,       4
21809.7  ,       4
21834.1  ,       4
21858.6  ,       6
21883.0  ,       2
21907.5  ,       7
21931.9  ,       3
21956.4  ,       4
21980.9  ,       5
22005.3  ,       7
22029.8  ,       6
22054.2  ,       7
22078.7  ,       6
22103.1  ,      12
22127.6  ,       7
22152.0  ,      11
22176.5  ,       8
22200.9  ,      13
22225.4  ,       8
22249.9  ,      13
22274.3  ,      12
22298.8  ,       8
22323.2  ,       7
22347.7  ,       4
22372.1  ,       3
22396.6  ,       0
22421.0  ,       3
22445.5  ,       3
22469.9  ,       2
22494.4  ,       2
22518.9  ,       7
22543.3  ,       4
22567.8  ,       9
22592.2  ,       5
22616.7  ,       4
22641.1  ,       4
22665.6  ,       3
22690.0  ,       6
22714.5  ,       4
22738.9  ,       5
22763.4  ,       5
22787.9  ,       3
22812.3  ,       2
22836.8  ,       6
22861.2  ,       3
22885.7  ,       6
22910.1  ,       4
22934.6  ,       2
22959.0  ,       6
22983.5  ,       2
23007.9  ,       2
23032.4  ,       4
23056.9  ,       3
23081.3  ,       3
23105.8  ,       3
23130.2  ,       6
23154.7  ,       4
23179.1  ,       3
23203.6  ,       3
23228.0  ,       3
23252.5  ,       2
23276.9  ,       1
23301.4  ,       4
23325.9  ,       5
23350.3  ,       0
23374.8  ,       1
23399.2  ,       6
23423.7  ,       1
23448.1  ,       4
23472.6  ,       5
23497.0  ,       0
23521.5  ,       4
23545.9  ,       4
23570.4  ,       3
23594.9  ,       6
23619.3  ,       2
23643.8  ,       5
23668.2  ,       0
23692.7  ,       6
23717.1  ,       4
23741.6  ,       3
23766.0  ,       3
23790.5  ,       0
23814.9  ,       2
23839.4  ,       2
23863.9  ,       7
23888.3  ,       3
23912.8  ,       3
23937.2  ,       3
23961.7  ,       3
23986.1  ,       2
24010.6  ,       1
24035.0  ,       4
24059.5  ,       4
24083.9  ,       3
24108.4  ,       3
24132.9  ,       4
24157.3  ,       5
24181.8  ,       7
24206.2  ,       1
24230.7  ,       3
24255.1  ,       1
24279.6  ,       0
24304.0  ,       2
24328.5  ,       5
24352.9  ,       0
24377.4  ,       2
24401.8  ,       0
24426.3  ,       5
24450.8  ,       5
24475.2  ,       2
24499.7  ,       1
24524.1  ,       4
24548.6  ,       3
24573.0  ,       1
24597.5  ,       3
