"Target: Square_Top_3_overnight, Contains DAT files: APB_449295235ESC05840300786_______M1.DAT"
22813.2  ,      52
22837.5  ,      60
22861.9  ,      70
22886.3  ,      60
22910.6  ,      75
22935.0  ,      64
22959.4  ,      49
22983.8  ,      69
23008.1  ,      62
23032.5  ,      63
23056.9  ,      70
23081.2  ,      64
23105.6  ,      65
23130.0  ,      78
23154.4  ,      52
23178.7  ,      71
23203.1  ,      56
23227.5  ,      74
23251.9  ,      66
23276.2  ,      63
23300.6  ,      72
23325.0  ,      67
23349.3  ,      82
23373.7  ,      68
23398.1  ,      57
23422.5  ,      69
23446.8  ,      64
23471.2  ,      60
23495.6  ,      67
23520.0  ,      63
23544.3  ,      71
23568.7  ,      81
23593.1  ,      61
23617.4  ,      79
23641.8  ,      60
23666.2  ,      79
23690.6  ,      68
23714.9  ,      59
23739.3  ,      65
23763.7  ,      69
23788.0  ,      59
23812.4  ,      78
23836.8  ,      62
23861.2  ,      68
23885.5  ,      66
23909.9  ,      77
23934.3  ,      75
23958.7  ,      68
23983.0  ,      59
24007.4  ,      80
24031.8  ,      64
24056.1  ,      69
24080.5  ,      69
24104.9  ,      68
24129.3  ,      60
24153.6  ,      64
24178.0  ,      65
24202.4  ,      71
24226.8  ,      72
24251.1  ,      78
24275.5  ,      67
24299.9  ,      77
24324.2  ,      71
24348.6  ,      60
24373.0  ,      67
24397.4  ,      67
24421.7  ,      53
24446.1  ,      69
24470.5  ,      78
24494.8  ,      66
24519.2  ,      64
24543.6  ,      65
24568.0  ,      70
24592.3  ,      59
24616.7  ,      57
24641.1  ,      68
24665.5  ,      76
24689.8  ,      74
24714.2  ,      78
24738.6  ,      74
24762.9  ,      81
24787.3  ,      65
24811.7  ,      66
24836.1  ,      61
24860.4  ,      76
24884.8  ,      62
24909.2  ,      58
24933.6  ,      63
24957.9  ,      79
24982.3  ,      66
25006.7  ,      81
25031.0  ,      79
25055.4  ,      58
25079.8  ,      84
25104.2  ,      83
25128.5  ,      90
25152.9  ,      82
25177.3  ,      84
25201.6  ,      81
25226.0  ,      93
25250.4  ,      78
25274.8  ,      84
25299.1  ,      75
25323.5  ,      86
25347.9  ,      85
25372.3  ,      80
25396.6  ,      81
25421.0  ,  192461
