"Target: Pilgrim, Contains DAT files: APB_498214247ESC11350500676_______M1.DAT"
24079.9  ,      30
24104.2  ,      35
24128.6  ,      28
24153.0  ,      35
24177.3  ,      32
24201.7  ,      29
24226.1  ,      22
24250.5  ,      34
24274.8  ,      30
24299.2  ,      29
24323.6  ,      29
24347.9  ,      28
24372.3  ,      26
24396.7  ,      41
24421.1  ,      32
24445.4  ,      25
24469.8  ,      34
24494.2  ,      33
24518.5  ,      30
24542.9  ,      33
24567.3  ,      20
24591.7  ,      26
24616.0  ,      31
24640.4  ,      24
24664.8  ,      28
24689.2  ,      27
24713.5  ,      24
24737.9  ,      31
24762.3  ,      19
24786.6  ,      34
24811.0  ,      37
24835.4  ,      31
24859.8  ,      35
24884.1  ,      38
24908.5  ,      39
24932.9  ,      22
24957.2  ,      34
24981.6  ,      37
25006.0  ,      55
25030.4  ,      35
25054.7  ,      40
25079.1  ,      30
25103.5  ,      35
25127.8  ,      48
25152.2  ,      36
25176.6  ,      41
25201.0  ,      36
25225.3  ,      28
25249.7  ,      43
25274.1  ,      44
25298.4  ,      45
25322.8  ,      38
25347.2  ,      41
25371.6  ,      34
25395.9  ,      39
25420.3  ,  101108
