"Target: Sayunei_RP_b, Contains DAT files: APA_412167507ESC01650052270_______M2.DAT"
21365.4  ,      17
21389.8  ,      13
21414.3  ,      13
21438.8  ,      16
21463.2  ,      12
21487.7  ,      18
21512.1  ,      14
21536.6  ,      12
21561.0  ,      11
21585.5  ,       5
21609.9  ,       4
21634.4  ,       4
21658.8  ,       8
21683.3  ,       2
21707.7  ,       1
21732.2  ,       6
21756.6  ,       1
21781.1  ,       5
21805.5  ,       1
21830.0  ,       5
21854.4  ,       5
21878.9  ,       2
21903.4  ,       2
21927.8  ,       3
21952.3  ,       3
21976.7  ,       0
22001.2  ,       2
22025.6  ,       5
22050.1  ,       2
22074.5  ,       7
22099.0  ,       8
22123.4  ,       7
22147.9  ,       5
22172.3  ,       3
22196.8  ,       1
22221.2  ,       7
22245.7  ,       4
22270.1  ,       6
22294.6  ,       5
22319.1  ,       0
22343.5  ,       7
22368.0  ,       4
22392.4  ,       1
22416.9  ,       2
22441.3  ,       3
22465.8  ,       5
22490.2  ,       2
22514.7  ,       2
22539.1  ,       0
22563.6  ,       1
22588.0  ,       6
22612.5  ,       4
22636.9  ,       1
22661.4  ,       5
22685.8  ,       4
22710.3  ,       1
22734.7  ,       3
22759.2  ,       0
22783.7  ,       3
22808.1  ,       1
22832.6  ,       3
22857.0  ,       4
22881.5  ,       2
22905.9  ,       2
22930.4  ,       2
22954.8  ,       1
22979.3  ,       1
23003.7  ,       2
23028.2  ,       2
23052.6  ,       2
23077.1  ,       3
23101.5  ,       2
23126.0  ,       3
23150.4  ,       0
23174.9  ,       2
23199.3  ,       1
23223.8  ,       3
23248.3  ,       1
23272.7  ,       1
23297.2  ,       1
23321.6  ,       2
23346.1  ,       1
23370.5  ,       3
23395.0  ,       2
23419.4  ,       3
23443.9  ,       1
23468.3  ,       2
23492.8  ,       4
23517.2  ,       3
23541.7  ,       2
23566.1  ,       1
23590.6  ,       1
23615.0  ,       1
23639.5  ,       4
23663.9  ,       2
23688.4  ,       2
23712.9  ,       1
23737.3  ,       0
23761.8  ,       4
23786.2  ,       2
23810.7  ,       2
23835.1  ,       1
23859.6  ,       0
23884.0  ,       2
23908.5  ,       2
23932.9  ,       1
23957.4  ,       2
23981.8  ,       1
24006.3  ,       2
24030.7  ,       3
24055.2  ,       3
24079.6  ,       4
24104.1  ,       2
24128.5  ,       3
24153.0  ,       3
24177.5  ,       0
24201.9  ,       1
24226.4  ,       3
24250.8  ,       1
24275.3  ,       3
24299.7  ,       2
24324.2  ,       0
24348.6  ,       1
24373.1  ,       1
24397.5  ,       2
24422.0  ,       2
24446.4  ,       2
24470.9  ,       3
24495.3  ,       0
24519.8  ,       4
24544.2  ,       7
24568.7  ,       0
24593.2  ,       1
24617.6  ,       2
24642.1  ,       3
24666.5  ,       2
24691.0  ,       2
24715.4  ,       1
24739.9  ,       2
24764.3  ,       2
24788.8  ,       4
24813.2  ,       1
24837.7  ,       1
24862.1  ,       3
24886.6  ,       4
24911.0  ,       2
24935.5  ,       3
24959.9  ,       2
24984.4  ,       2
25008.8  ,       0
25033.3  ,       2
25057.8  ,       1
25082.2  ,       5
25106.7  ,       1
25131.1  ,       0
25155.6  ,       4
25180.0  ,       2
25204.5  ,       1
25228.9  ,       4
25253.4  ,       2
25277.8  ,       1
25302.3  ,       6
25326.7  ,       2
25351.2  ,       4
25375.6  ,       2
25400.1  ,       2
25424.5  ,       7
25449.0  ,       0
25473.4  ,       6
25497.9  ,    7063
