"Target: Sayunei_RP_a, Contains DAT files: APA_412166565ESC01650052270_______M2.DAT"
24259.9  ,       3
24284.4  ,       3
24308.8  ,       1
24333.3  ,       1
24357.8  ,       5
24382.2  ,       1
24406.7  ,       1
24431.1  ,       2
24455.6  ,       3
24480.1  ,       0
24504.5  ,       1
24529.0  ,       2
24553.5  ,       3
24577.9  ,       1
24602.4  ,       2
24626.8  ,       2
24651.3  ,       3
24675.8  ,       1
24700.2  ,       2
24724.7  ,       1
24749.2  ,       1
24773.6  ,       4
24798.1  ,       4
24822.5  ,       2
24847.0  ,       4
24871.5  ,       6
24895.9  ,       3
24920.4  ,       1
24944.9  ,       4
24969.3  ,       3
24993.8  ,       3
25018.2  ,       1
25042.7  ,       1
25067.2  ,       6
25091.6  ,       4
25116.1  ,       1
25140.6  ,       2
25165.0  ,       2
25189.5  ,       0
25213.9  ,       3
25238.4  ,       1
25262.9  ,       3
25287.3  ,       4
25311.8  ,       2
25336.3  ,       3
25360.7  ,       1
25385.2  ,       3
25409.6  ,       4
25434.1  ,       1
25458.6  ,       3
25483.0  ,       2
25507.5  ,    7295
