"Target: Sayunei_RP_center, Contains DAT files: APA_412192430ESC01660052270_______M2.DAT"
24348.6  ,      50
24372.9  ,      72
24397.3  ,      81
24421.7  ,      77
24446.1  ,      60
24470.4  ,      53
24494.8  ,      79
24519.2  ,      69
24543.6  ,      72
24567.9  ,      65
24592.3  ,      56
24616.7  ,      63
24641.1  ,      77
24665.4  ,      73
24689.8  ,      56
24714.2  ,      63
24738.5  ,      71
24762.9  ,      83
24787.3  ,      69
24811.7  ,      62
24836.0  ,      68
24860.4  ,      87
24884.8  ,      72
24909.2  ,      72
24933.5  ,      55
24957.9  ,      82
24982.3  ,      69
25006.7  ,      83
25031.0  ,      80
25055.4  ,      86
25079.8  ,      73
25104.1  ,      76
25128.5  ,      98
25152.9  ,      84
25177.3  ,     103
25201.6  ,      81
25226.0  ,      78
25250.4  ,      85
25274.8  ,      76
25299.1  ,     100
25323.5  ,      90
25347.9  ,      95
25372.3  ,      82
25396.6  ,      74
25421.0  ,  203954
