"Target: Brock_Inlier_RP, Contains DAT files: APA_412492605ESC01690060000_______M2.DAT"
18089.9  ,      20
18114.4  ,      47
18138.8  ,      64
18163.3  ,      68
18187.7  ,      85
18212.2  ,     108
18236.6  ,     121
18261.1  ,     146
18285.5  ,     179
18310.0  ,     166
18334.4  ,     151
18358.9  ,     143
18383.3  ,     131
18407.8  ,     101
18432.2  ,      80
18456.7  ,      61
18481.1  ,      49
18505.6  ,      36
18530.0  ,      18
18554.5  ,      20
18578.9  ,      17
18603.4  ,      10
18627.8  ,       9
18652.3  ,      11
18676.7  ,      10
18701.2  ,       5
18725.6  ,      10
18750.1  ,      10
18774.6  ,      16
18799.0  ,       8
18823.5  ,       9
18847.9  ,      10
18872.4  ,       6
18896.8  ,       9
18921.3  ,       8
18945.7  ,       5
18970.2  ,       8
18994.6  ,      13
19019.1  ,       4
19043.5  ,      10
19068.0  ,      18
19092.4  ,      16
19116.9  ,      15
19141.3  ,      16
19165.8  ,      15
19190.2  ,      17
19214.7  ,      14
19239.1  ,      15
19263.6  ,      13
19288.0  ,      11
19312.5  ,      17
19336.9  ,      15
19361.4  ,      23
19385.8  ,      23
19410.3  ,      22
19434.8  ,      21
19459.2  ,      24
19483.7  ,      21
19508.1  ,      21
19532.6  ,      33
19557.0  ,      37
19581.5  ,      32
19605.9  ,      25
19630.4  ,      31
19654.8  ,      35
19679.3  ,      36
19703.7  ,      36
19728.2  ,      36
19752.6  ,      36
19777.1  ,      44
19801.5  ,      46
19826.0  ,      41
19850.4  ,      36
19874.9  ,      33
19899.3  ,      50
19923.8  ,      45
19948.2  ,      33
19972.7  ,      36
19997.1  ,      48
20021.6  ,      29
20046.0  ,      33
20070.5  ,      38
20095.0  ,      38
20119.4  ,      25
20143.9  ,      21
20168.3  ,      20
20192.8  ,      15
20217.2  ,      24
20241.7  ,      31
20266.1  ,      24
20290.6  ,      23
20315.0  ,      20
20339.5  ,      25
20363.9  ,      20
20388.4  ,      18
