"Target: Kelso, Contains DAT files: APB_468650567ESC08020441140_______M1.DAT"
19507.9  ,     215
19532.4  ,     232
19556.8  ,     246
19581.2  ,     249
19605.6  ,     268
19630.1  ,     268
19654.5  ,     308
19678.9  ,     286
19703.3  ,     295
19727.7  ,     331
19752.2  ,     344
19776.6  ,     338
19801.0  ,     342
19825.4  ,     321
19849.8  ,     310
19874.3  ,     315
19898.7  ,     293
19923.1  ,     354
19947.5  ,     314
19971.9  ,     302
19996.4  ,     309
20020.8  ,     292
20045.2  ,     277
20069.6  ,     298
20094.1  ,     249
20118.5  ,     266
20142.9  ,     228
20167.3  ,     234
20191.7  ,     246
20216.2  ,     208
20240.6  ,     221
20265.0  ,     216
20289.4  ,     172
20313.8  ,     193
20338.3  ,     192
20362.7  ,     194
20387.1  ,     187
20411.5  ,     166
20436.0  ,     153
20460.4  ,     158
20484.8  ,     164
20509.2  ,     154
20533.6  ,     148
20558.1  ,     150
20582.5  ,     126
20606.9  ,     145
20631.3  ,     135
20655.7  ,     109
20680.2  ,     120
20704.6  ,      99
20729.0  ,     117
20753.4  ,      94
20777.8  ,      83
20802.3  ,     103
20826.7  ,      82
20851.1  ,      90
20875.5  ,      74
20900.0  ,      73
20924.4  ,      79
20948.8  ,      74
20973.2  ,      69
20997.6  ,      55
21022.1  ,      60
21046.5  ,      51
21070.9  ,      64
21095.3  ,      53
21119.7  ,      73
21144.2  ,      78
21168.6  ,      66
21193.0  ,      80
21217.4  ,      93
21241.8  ,     112
21266.3  ,     120
21290.7  ,     149
21315.1  ,     166
21339.5  ,     218
21364.0  ,     270
21388.4  ,     269
21412.8  ,     283
21437.2  ,     269
21461.6  ,     281
21486.1  ,     213
21510.5  ,     180
21534.9  ,     164
21559.3  ,     123
21583.7  ,     113
21608.2  ,      83
21632.6  ,      75
21657.0  ,      47
21681.4  ,      39
21705.8  ,      35
21730.3  ,      29
21754.7  ,      29
21779.1  ,      33
21803.5  ,      34
21828.0  ,      43
21852.4  ,      29
21876.8  ,      25
21901.2  ,      38
21925.6  ,      39
21950.1  ,      44
21974.5  ,      44
21998.9  ,      45
22023.3  ,      57
22047.7  ,      49
22072.2  ,      58
22096.6  ,      65
22121.0  ,      71
22145.4  ,      82
22169.8  ,      81
22194.3  ,      62
22218.7  ,      70
22243.1  ,      66
22267.5  ,      55
22292.0  ,      51
22316.4  ,      39
22340.8  ,      32
22365.2  ,      28
22389.6  ,      24
22414.1  ,      29
22438.5  ,      31
22462.9  ,      31
22487.3  ,      24
22511.7  ,      21
22536.2  ,      19
22560.6  ,      23
22585.0  ,      33
22609.4  ,      12
22633.9  ,      17
22658.3  ,      20
