"Target: Aillik_RP, Contains DAT files: APB_426124444ESC03230060804_______M2.DAT"
20541.0  ,     373
20565.5  ,     342
20589.9  ,     348
20614.3  ,     357
20638.7  ,     321
20663.2  ,     321
20687.6  ,     322
20712.0  ,     335
20736.5  ,     337
20760.9  ,     279
20785.3  ,     310
20809.7  ,     227
20834.2  ,     210
20858.6  ,     227
20883.0  ,     225
20907.4  ,     194
20931.9  ,     206
20956.3  ,     196
20980.7  ,     176
21005.2  ,     170
21029.6  ,     173
21054.0  ,     164
21078.4  ,     162
21102.9  ,     157
21127.3  ,     173
21151.7  ,     158
21176.1  ,     197
21200.6  ,     193
21225.0  ,     247
21249.4  ,     266
21273.9  ,     352
21298.3  ,     397
21322.7  ,     495
21347.1  ,     564
21371.6  ,     637
21396.0  ,     750
21420.4  ,     724
21444.9  ,     764
21469.3  ,     738
21493.7  ,     678
21518.1  ,     617
21542.6  ,     465
21567.0  ,     353
21591.4  ,     323
21615.8  ,     214
21640.3  ,     196
21664.7  ,     157
21689.1  ,     129
21713.6  ,     110
21738.0  ,     109
21762.4  ,     112
21786.8  ,     100
21811.3  ,     116
21835.7  ,     108
21860.1  ,      93
21884.5  ,      93
21909.0  ,      97
21933.4  ,     121
21957.8  ,     105
21982.3  ,     135
22006.7  ,     118
22031.1  ,     146
22055.5  ,     162
22080.0  ,     182
22104.4  ,     189
22128.8  ,     188
22153.3  ,     230
22177.7  ,     217
22202.1  ,     180
22226.5  ,     185
22251.0  ,     144
22275.4  ,     147
22299.8  ,     142
22324.2  ,     145
22348.7  ,     113
22373.1  ,     101
22397.5  ,      94
22422.0  ,      73
22446.4  ,      84
22470.8  ,      67
22495.2  ,      64
22519.7  ,      75
22544.1  ,      70
22568.5  ,      77
22592.9  ,      74
22617.4  ,      63
22641.8  ,      87
22666.2  ,      75
22690.7  ,      75
22715.1  ,      59
22739.5  ,      71
22763.9  ,      75
22788.4  ,      75
22812.8  ,      69
22837.2  ,      74
22861.7  ,      67
22886.1  ,      84
22910.5  ,      80
22934.9  ,      88
22959.4  ,      81
22983.8  ,      84
23008.2  ,      75
23032.6  ,      70
23057.1  ,      66
23081.5  ,      89
23105.9  ,      53
23130.4  ,      81
23154.8  ,      78
23179.2  ,      70
23203.6  ,      81
23228.1  ,      92
23252.5  ,      75
23276.9  ,      66
23301.3  ,      73
23325.8  ,      65
23350.2  ,      73
23374.6  ,      63
23399.1  ,      67
23423.5  ,      86
23447.9  ,      66
23472.3  ,      70
23496.8  ,      70
23521.2  ,      57
23545.6  ,      75
23570.1  ,      75
23594.5  ,      78
23618.9  ,      74
23643.3  ,      89
23667.8  ,      87
23692.2  ,      54
23716.6  ,      71
23741.0  ,      79
23765.5  ,      69
23789.9  ,      69
23814.3  ,      60
23838.8  ,      76
23863.2  ,      74
23887.6  ,      64
23912.0  ,      70
23936.5  ,      68
23960.9  ,      64
23985.3  ,      67
24009.7  ,      80
24034.2  ,      82
24058.6  ,      70
24083.0  ,      72
24107.5  ,      73
24131.9  ,      63
24156.3  ,      63
24180.7  ,      63
24205.2  ,      58
24229.6  ,      69
24254.0  ,      73
24278.4  ,      77
24302.9  ,      67
24327.3  ,      85
24351.7  ,      61
24376.2  ,      77
24400.6  ,      70
24425.0  ,      48
24449.4  ,      81
24473.9  ,      69
