"Target: Nova_RP, Contains DAT files: APB_458532061ESC06880390000_______M1.DAT"
16315.7  ,     767
16340.1  ,     771
16364.4  ,     842
16388.8  ,     790
16413.1  ,     791
16437.5  ,     814
16461.8  ,     733
16486.2  ,     767
16510.5  ,     780
16534.9  ,     754
16559.2  ,     825
16583.6  ,     789
16607.9  ,     845
16632.3  ,     865
16656.6  ,     907
16681.0  ,     913
16705.3  ,     994
16729.7  ,    1014
16754.0  ,    1154
16778.4  ,    1215
16802.7  ,    1189
16827.1  ,    1401
16851.5  ,    1455
16875.8  ,    1506
16900.2  ,    1503
16924.5  ,    1698
16948.9  ,    1745
16973.2  ,    1769
16997.6  ,    1882
17021.9  ,    1976
17046.3  ,    2035
17070.6  ,    2095
17095.0  ,    2121
17119.3  ,    2162
17143.7  ,    2319
17168.0  ,    2219
17192.4  ,    2326
17216.7  ,    2239
17241.1  ,    2088
17265.4  ,    2089
17289.8  ,    2014
17314.1  ,    1880
17338.5  ,    1736
17362.8  ,    1522
17387.2  ,    1397
17411.5  ,    1312
17435.9  ,    1104
17460.2  ,    1075
17484.6  ,     960
17508.9  ,     944
17533.3  ,     864
17557.6  ,     873
17582.0  ,     836
17606.3  ,     834
17630.7  ,     768
17655.0  ,     790
17679.4  ,     754
17703.8  ,     685
17728.1  ,     674
17752.5  ,     566
17776.8  ,     521
17801.2  ,     442
17825.5  ,     489
17849.9  ,     388
17874.2  ,     388
17898.6  ,     408
17922.9  ,     391
17947.3  ,     388
17971.6  ,     373
17996.0  ,     395
18020.3  ,     434
18044.7  ,     427
18069.0  ,     486
18093.4  ,     555
18117.7  ,     629
18142.1  ,     766
18166.4  ,     883
18190.8  ,    1081
18215.1  ,    1157
18239.5  ,    1372
18263.8  ,    1546
18288.2  ,    1539
18312.5  ,    1473
18336.9  ,    1383
18361.2  ,    1214
18385.6  ,    1031
18409.9  ,     900
18434.3  ,     701
18458.6  ,     551
18483.0  ,     361
18507.3  ,     269
18531.7  ,     200
18556.1  ,     144
18580.4  ,     126
18604.8  ,     118
18629.1  ,     126
18653.5  ,      86
18677.8  ,      96
18702.2  ,     113
18726.5  ,     111
18750.9  ,     115
18775.2  ,     116
18799.6  ,     119
18823.9  ,     108
18848.3  ,     115
18872.6  ,     112
18897.0  ,     108
18921.3  ,     117
18945.7  ,     100
18970.0  ,     133
18994.4  ,     137
19018.7  ,     116
19043.1  ,     151
19067.4  ,     140
19091.8  ,     146
19116.1  ,     171
19140.5  ,     175
19164.8  ,     177
19189.2  ,     185
19213.5  ,     209
19237.9  ,     171
19262.2  ,     221
19286.6  ,     187
19310.9  ,     227
19335.3  ,     232
19359.6  ,     227
19384.0  ,     245
19408.4  ,     298
19432.7  ,     264
19457.1  ,     312
19481.4  ,     313
19505.8  ,     325
19530.1  ,     362
19554.5  ,     381
19578.8  ,     403
19603.2  ,     432
19627.5  ,     434
19651.9  ,     482
19676.2  ,     475
19700.6  ,     476
19724.9  ,     489
19749.3  ,     520
19773.6  ,     553
19798.0  ,     506
19822.3  ,     500
19846.7  ,     513
19871.0  ,     550
19895.4  ,     520
19919.7  ,     545
19944.1  ,     470
19968.4  ,     509
19992.8  ,     431
20017.1  ,     437
20041.5  ,     422
20065.8  ,     412
20090.2  ,     417
20114.5  ,     425
20138.9  ,     398
20163.2  ,     363
20187.6  ,     369
20211.9  ,     361
20236.3  ,     316
20260.7  ,     312
20285.0  ,     294
20309.4  ,     319
20333.7  ,     265
20358.1  ,     267
20382.4  ,     250
20406.8  ,     230
20431.1  ,     310
20455.5  ,     240
20479.8  ,     233
20504.2  ,     239
20528.5  ,     230
20552.9  ,     198
20577.2  ,     254
20601.6  ,     206
20625.9  ,     195
20650.3  ,     205
20674.6  ,     206
20699.0  ,     169
20723.3  ,     163
20747.7  ,     186
20772.0  ,     149
20796.4  ,     140
20820.7  ,     128
20845.1  ,     105
20869.4  ,     133
20893.8  ,     121
20918.1  ,     111
20942.5  ,     104
20966.8  ,      98
20991.2  ,     122
21015.5  ,      87
21039.9  ,     104
21064.2  ,      86
21088.6  ,      71
21113.0  ,      92
21137.3  ,      83
21161.7  ,     107
21186.0  ,      98
21210.4  ,     120
21234.7  ,     144
21259.1  ,     149
21283.4  ,     188
21307.8  ,     214
21332.1  ,     228
21356.5  ,     287
21380.8  ,     295
21405.2  ,     293
21429.5  ,     316
21453.9  ,     323
21478.2  ,     271
21502.6  ,     261
21526.9  ,     259
21551.3  ,     209
21575.6  ,     161
21600.0  ,     133
21624.3  ,     104
21648.7  ,      88
21673.0  ,      57
21697.4  ,      63
