"Target: Cumberland_dump_pile_center, Contains DAT files: APB_440781134ESC04880240366_______M2.DAT"
24903.2  ,      14
24927.6  ,      17
24952.0  ,      14
24976.4  ,      34
25000.8  ,      13
25025.2  ,      19
25049.6  ,      20
25074.0  ,      22
25098.4  ,      34
25122.8  ,      24
25147.2  ,      27
25171.6  ,      27
25196.0  ,      24
25220.4  ,      25
25244.7  ,      30
25269.1  ,      34
25293.5  ,      24
25317.9  ,      29
25342.3  ,      27
25366.7  ,      20
25391.1  ,      23
25415.5  ,      29
25439.9  ,   69028
