"Target: Albert, Contains DAT files: APB_484092240ESC09760470598_______M1.DAT"
24241.6  ,      68
24266.0  ,      58
24290.4  ,      62
24314.8  ,      62
24339.2  ,      56
24363.7  ,      64
24388.1  ,      68
24412.5  ,      69
24436.9  ,      57
24461.3  ,      75
24485.7  ,      53
24510.2  ,      68
24534.6  ,      69
24559.0  ,      55
24583.4  ,      58
24607.8  ,      68
24632.2  ,      66
24656.7  ,      58
24681.1  ,      66
24705.5  ,      81
24729.9  ,      57
24754.3  ,      63
24778.7  ,      57
24803.2  ,      54
24827.6  ,      70
24852.0  ,      60
24876.4  ,      76
24900.8  ,      72
24925.2  ,      75
24949.7  ,      63
24974.1  ,      56
24998.5  ,      64
25022.9  ,      67
25047.3  ,      73
25071.7  ,      62
25096.2  ,      71
25120.6  ,      75
25145.0  ,      72
25169.4  ,      66
25193.8  ,      78
25218.2  ,      66
25242.7  ,      80
25267.1  ,      86
25291.5  ,      85
25315.9  ,      75
25340.3  ,      85
25364.7  ,      68
25389.2  ,      87
25413.6  ,      71
25438.0  ,      61
25462.4  ,  179704
