"Target: Mojave2_postsieve_dump, Contains DAT files: APB_476905000ESC08950450000_______M1.DAT"
22933.8  ,      60
22958.2  ,      51
22982.6  ,      60
23007.0  ,      43
23031.5  ,      55
23055.9  ,      49
23080.3  ,      51
23104.8  ,      46
23129.2  ,      54
23153.6  ,      52
23178.0  ,      56
23202.5  ,      59
23226.9  ,      54
23251.3  ,      53
23275.7  ,      56
23300.2  ,      44
23324.6  ,      50
23349.0  ,      61
23373.5  ,      53
23397.9  ,      47
23422.3  ,      54
23446.7  ,      51
23471.2  ,      58
23495.6  ,      48
23520.0  ,      48
23544.5  ,      55
23568.9  ,      63
23593.3  ,      54
23617.7  ,      50
23642.2  ,      57
23666.6  ,      56
23691.0  ,      56
23715.5  ,      56
23739.9  ,      55
23764.3  ,      40
23788.7  ,      46
23813.2  ,      53
23837.6  ,      50
23862.0  ,      46
23886.5  ,      55
23910.9  ,      62
23935.3  ,      47
23959.7  ,      42
23984.2  ,      52
24008.6  ,      46
24033.0  ,      54
24057.5  ,      49
24081.9  ,      64
24106.3  ,      56
24130.7  ,      43
24155.2  ,      55
24179.6  ,      54
24204.0  ,      47
24228.5  ,      66
24252.9  ,      44
24277.3  ,      56
24301.7  ,      59
24326.2  ,      53
24350.6  ,      63
24375.0  ,      54
24399.5  ,      45
24423.9  ,      50
24448.3  ,      53
24472.7  ,      55
24497.2  ,      61
24521.6  ,      53
24546.0  ,      53
24570.5  ,      52
24594.9  ,      42
24619.3  ,      51
24643.7  ,      63
24668.2  ,      53
24692.6  ,      54
24717.0  ,      52
24741.5  ,      53
24765.9  ,      43
24790.3  ,      52
24814.7  ,      46
24839.2  ,      62
24863.6  ,      59
24888.0  ,      50
24912.4  ,      65
24936.9  ,      56
24961.3  ,      77
24985.7  ,      76
25010.2  ,      59
25034.6  ,      59
25059.0  ,      61
25083.4  ,      68
25107.9  ,      68
25132.3  ,      70
25156.7  ,      86
25181.2  ,      55
25205.6  ,      77
25230.0  ,      78
25254.4  ,      78
25278.9  ,      60
25303.3  ,      72
25327.7  ,      54
25352.2  ,      72
25376.6  ,      54
25401.0  ,      68
25425.4  ,      65
25449.9  ,      68
25474.3  ,  162868
