"Target: Mojave_DRT_raster2, Contains DAT files: APB_469359455ESC08100441432_______M1.DAT"
18020.3  ,     781
18044.7  ,     809
18069.2  ,     894
18093.6  ,     999
18118.0  ,    1235
18142.4  ,    1480
18166.8  ,    1789
18191.3  ,    2331
18215.7  ,    2548
18240.1  ,    3054
18264.5  ,    3309
18289.0  ,    3331
18313.4  ,    3368
18337.8  ,    3188
18362.2  ,    2783
18386.7  ,    2196
18411.1  ,    1821
18435.5  ,    1402
18459.9  ,    1049
18484.3  ,     761
18508.8  ,     550
18533.2  ,     384
18557.6  ,     294
18582.0  ,     267
18606.5  ,     223
18630.9  ,     223
18655.3  ,     209
18679.7  ,     214
18704.1  ,     191
18728.6  ,     229
18753.0  ,     216
18777.4  ,     223
18801.8  ,     226
18826.3  ,     217
18850.7  ,     232
18875.1  ,     204
18899.5  ,     236
18923.9  ,     243
18948.4  ,     238
18972.8  ,     230
18997.2  ,     256
19021.6  ,     289
19046.1  ,     286
19070.5  ,     277
19094.9  ,     287
19119.3  ,     274
19143.8  ,     315
19168.2  ,     339
19192.6  ,     329
19217.0  ,     335
19241.4  ,     339
19265.9  ,     387
19290.3  ,     415
19314.7  ,     434
19339.1  ,     421
19363.6  ,     464
19388.0  ,     511
19412.4  ,     552
19436.8  ,     553
19461.2  ,     609
19485.7  ,     603
19510.1  ,     581
19534.5  ,     663
19558.9  ,     710
19583.4  ,     746
19607.8  ,     769
19632.2  ,     802
19656.6  ,     853
19681.0  ,     864
19705.5  ,     867
19729.9  ,     917
19754.3  ,     929
19778.7  ,     914
19803.2  ,     983
19827.6  ,     913
19852.0  ,     967
19876.4  ,     926
19900.9  ,     962
19925.3  ,     930
19949.7  ,     945
19974.1  ,     843
19998.5  ,     831
20023.0  ,     879
20047.4  ,     794
20071.8  ,     756
20096.2  ,     728
20120.7  ,     703
20145.1  ,     638
20169.5  ,     671
20193.9  ,     660
20218.3  ,     600
20242.8  ,     614
20267.2  ,     602
20291.6  ,     563
20316.0  ,     528
20340.5  ,     523
20364.9  ,     514
20389.3  ,     500
20413.7  ,     451
20438.1  ,     438
20462.6  ,     466
20487.0  ,     457
20511.4  ,     412
20535.8  ,     423
20560.3  ,     373
20584.7  ,     382
20609.1  ,     378
20633.5  ,     370
20658.0  ,     365
20682.4  ,     341
20706.8  ,     353
20731.2  ,     317
20755.6  ,     291
20780.1  ,     289
20804.5  ,     291
20828.9  ,     261
20853.3  ,     262
20877.8  ,     233
20902.2  ,     221
20926.6  ,     207
20951.0  ,     198
20975.4  ,     157
20999.9  ,     186
21024.3  ,     192
21048.7  ,     186
21073.1  ,     192
21097.6  ,     177
21122.0  ,     184
21146.4  ,     184
21170.8  ,     202
21195.2  ,     213
21219.7  ,     233
21244.1  ,     303
21268.5  ,     327
21292.9  ,     430
21317.4  ,     464
21341.8  ,     543
21366.2  ,     614
21390.6  ,     635
21415.1  ,     715
21439.5  ,     719
21463.9  ,     697
21488.3  ,     581
21512.7  ,     501
21537.2  ,     434
21561.6  ,     377
21586.0  ,     289
21610.4  ,     235
21634.9  ,     210
21659.3  ,     145
21683.7  ,     125
21708.1  ,     107
21732.5  ,     103
21757.0  ,     108
21781.4  ,      76
21805.8  ,      86
21830.2  ,      91
21854.7  ,      89
21879.1  ,      87
21903.5  ,     100
21927.9  ,      97
21952.3  ,     102
21976.8  ,     112
22001.2  ,     125
22025.6  ,     124
22050.0  ,     152
22074.5  ,     158
22098.9  ,     172
22123.3  ,     192
22147.7  ,     198
22172.2  ,     192
22196.6  ,     191
22221.0  ,     181
22245.4  ,     174
22269.8  ,     141
22294.3  ,     114
22318.7  ,     128
22343.1  ,     109
22367.5  ,      75
22392.0  ,      75
22416.4  ,      80
22440.8  ,      72
22465.2  ,      80
22489.6  ,      62
22514.1  ,      61
22538.5  ,      77
22562.9  ,      82
22587.3  ,      60
22611.8  ,      68
22636.2  ,      59
22660.6  ,      56
22685.0  ,      64
22709.4  ,      67
22733.9  ,      71
22758.3  ,      68
22782.7  ,      68
22807.1  ,      62
22831.6  ,      64
22856.0  ,      77
22880.4  ,      59
22904.8  ,      70
22929.3  ,      58
22953.7  ,      68
22978.1  ,      74
23002.5  ,      64
23026.9  ,      68
23051.4  ,      68
23075.8  ,      70
23100.2  ,      71
23124.6  ,      59
23149.1  ,      76
23173.5  ,      75
23197.9  ,      85
23222.3  ,      51
23246.7  ,      76
23271.2  ,      68
23295.6  ,      75
23320.0  ,      41
23344.4  ,      64
23368.9  ,      68
23393.3  ,      61
23417.7  ,      92
23442.1  ,      65
23466.5  ,      69
23491.0  ,      69
23515.4  ,      60
23539.8  ,      69
23564.2  ,      57
23588.7  ,      74
23613.1  ,      67
23637.5  ,      61
23661.9  ,      68
23686.4  ,      92
23710.8  ,      59
23735.2  ,      68
23759.6  ,      54
23784.0  ,      83
23808.5  ,      67
23832.9  ,      60
23857.3  ,      46
23881.7  ,      65
23906.2  ,      78
23930.6  ,      64
23955.0  ,      39
23979.4  ,      62
24003.8  ,      50
24028.3  ,      72
24052.7  ,      71
24077.1  ,      71
24101.5  ,      75
24126.0  ,      46
24150.4  ,      61
24174.8  ,      58
24199.2  ,      80
24223.6  ,      71
24248.1  ,      68
24272.5  ,      76
24296.9  ,      56
24321.3  ,      61
24345.8  ,      63
24370.2  ,      61
24394.6  ,      46
24419.0  ,      62
24443.5  ,      53
24467.9  ,      68
24492.3  ,      69
24516.7  ,      67
24541.1  ,      56
24565.6  ,      69
24590.0  ,      70
24614.4  ,      68
24638.8  ,      54
24663.3  ,      61
24687.7  ,      62
24712.1  ,      55
24736.5  ,      59
24760.9  ,      61
24785.4  ,      64
24809.8  ,      63
24834.2  ,      67
24858.6  ,      67
24883.1  ,      58
24907.5  ,      66
24931.9  ,      57
24956.3  ,      67
24980.7  ,      79
25005.2  ,      73
25029.6  ,      70
