"Target: Matthew, Contains DAT files: APB_429504116ESC03610120000_______M2.DAT"
22474.5  ,      76
22498.8  ,      52
22523.2  ,      67
22547.5  ,      50
22571.9  ,      61
22596.2  ,      52
22620.6  ,      75
22644.9  ,      53
22669.3  ,      60
22693.6  ,      61
22718.0  ,      63
22742.3  ,      68
22766.7  ,      73
22791.0  ,      61
22815.4  ,      50
22839.7  ,      65
22864.1  ,      60
22888.4  ,      63
22912.8  ,      51
22937.1  ,      65
22961.5  ,      57
22985.8  ,      56
23010.2  ,      65
23034.5  ,      70
23058.9  ,      59
23083.2  ,      71
23107.6  ,      55
23131.9  ,      63
23156.3  ,      62
23180.6  ,      67
23205.0  ,      72
23229.3  ,      56
23253.7  ,      62
23278.0  ,      46
23302.4  ,      79
23326.7  ,      57
23351.1  ,      61
23375.4  ,      53
23399.8  ,      63
23424.1  ,      58
23448.5  ,      39
23472.8  ,      48
23497.2  ,      52
23521.5  ,      62
23545.9  ,      46
23570.2  ,      58
23594.6  ,      54
23618.9  ,      57
23643.3  ,      60
23667.6  ,      55
23692.0  ,      48
23716.3  ,      58
23740.7  ,      58
23765.0  ,      54
23789.4  ,      63
23813.7  ,      43
23838.1  ,      62
23862.4  ,      50
23886.8  ,      56
23911.1  ,      47
23935.5  ,      65
23959.8  ,      70
23984.2  ,      56
24008.5  ,      63
24032.9  ,      59
24057.2  ,      55
24081.6  ,      65
24105.9  ,      60
24130.3  ,      61
24154.6  ,      49
24179.0  ,      60
24203.3  ,      62
24227.7  ,      51
24252.0  ,      63
24276.4  ,      67
24300.7  ,      69
24325.1  ,      56
24349.4  ,      63
24373.8  ,      47
24398.1  ,      70
24422.5  ,      50
24446.8  ,      66
24471.2  ,      66
24495.5  ,      60
24519.9  ,      52
24544.2  ,      54
24568.6  ,      62
24592.9  ,      59
24617.3  ,      58
24641.6  ,      62
24666.0  ,      67
24690.3  ,      66
24714.7  ,      63
24739.0  ,      40
24763.4  ,      60
24787.7  ,      60
24812.1  ,      53
24836.4  ,      64
24860.8  ,      71
24885.1  ,      47
24909.5  ,      64
24933.8  ,      61
24958.2  ,      54
24982.5  ,      85
25006.9  ,      71
25031.2  ,      66
25055.6  ,      67
25079.9  ,      58
25104.3  ,      77
25128.6  ,      69
25153.0  ,      71
25177.3  ,      72
25201.7  ,      68
25226.0  ,      79
25250.4  ,      83
25274.7  ,      79
25299.1  ,      74
25323.5  ,      76
25347.8  ,      82
25372.2  ,      75
25396.5  ,  179215
