"Target: Flaherty, Contains DAT files: APA_408992063ESC01300051576_______M2.DAT"
22958.6  ,     114
22983.1  ,     116
23007.5  ,     125
23031.9  ,     109
23056.4  ,     118
23080.8  ,     116
23105.2  ,     111
23129.6  ,      91
23154.1  ,     107
23178.5  ,     125
23202.9  ,     104
23227.3  ,     110
23251.8  ,     139
23276.2  ,     118
23300.6  ,     114
23325.0  ,     116
23349.5  ,     121
23373.9  ,     118
23398.3  ,     114
23422.7  ,     106
23447.2  ,     116
23471.6  ,     140
23496.0  ,     126
23520.4  ,     119
23544.9  ,      90
23569.3  ,     116
23593.7  ,     107
23618.1  ,     119
23642.6  ,     125
23667.0  ,     128
23691.4  ,     120
23715.8  ,     106
23740.3  ,     100
23764.7  ,     108
23789.1  ,     114
23813.5  ,     123
23838.0  ,     117
23862.4  ,     123
23886.8  ,     108
23911.3  ,      98
23935.7  ,     106
23960.1  ,     127
23984.5  ,     118
24009.0  ,     117
24033.4  ,      81
24057.8  ,     107
24082.2  ,     135
24106.7  ,     118
24131.1  ,     139
24155.5  ,     122
24179.9  ,     146
24204.4  ,     103
24228.8  ,      95
24253.2  ,     118
24277.6  ,     115
24302.1  ,     123
24326.5  ,     108
24350.9  ,     112
24375.3  ,     124
24399.8  ,     113
24424.2  ,     112
24448.6  ,     108
24473.0  ,     115
24497.5  ,     111
24521.9  ,     113
24546.3  ,     128
24570.7  ,      90
24595.2  ,     115
24619.6  ,     127
24644.0  ,     102
24668.5  ,     108
24692.9  ,     100
24717.3  ,      99
24741.7  ,     114
24766.2  ,      98
24790.6  ,     112
24815.0  ,     141
24839.4  ,     107
24863.9  ,     123
24888.3  ,     114
24912.7  ,     111
24937.1  ,     116
24961.6  ,     121
24986.0  ,     124
25010.4  ,     134
25034.8  ,     110
25059.3  ,     132
25083.7  ,     136
25108.1  ,     130
25132.5  ,     126
25157.0  ,     142
25181.4  ,     146
25205.8  ,     136
25230.2  ,     121
25254.7  ,     127
25279.1  ,     141
25303.5  ,     137
25327.9  ,     153
25352.4  ,     128
25376.8  ,     112
25401.2  ,     122
25425.6  ,     136
25450.1  ,     137
25474.5  ,  324420
